track_id,physical_site_id,physical_location_group_id,sha256_sort_key,group_role,count_rule,location_evidence
mmsp-published-series-exploratory-v1,1,1,0203445319dc928ce724bdbe4b8a2e84d66b808b86da50dedfc4915e31bdd125,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,62,62,03213e035742944354a665b4cdbab6b313755b18977ba08caf2a5391be319879,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,77,77,03225d9614095bc131d356cb8229ab91a26ab2f1db26dcf1c53fcbc52e35e382,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,30,30,071fd0c66d33a3e81071fe3039db9d833c90e3a1252108c46fe488c4ace63b1e,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,33,33,074fc33ddeaa1f04856984329afc9eaf0dc66451dd42b8f72a403af9adf52c50,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,82,82,098931d29ee13a08a10400fec2a40801ceacbfee16b508203ad2c90c3fb948c8,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,57,57,1570cc3b3c5b1a346c820d40ab65e64b24a6b6fb884ee544ef684722e3e3bffb,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,67,67,180561c0ef5cd9f0eeace6261a4f570ffb6ecc3b7807bad8db06d23ce070ec01,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,76,76,1ddc8fbec3d7445b26d5f5acbf271d7d682d9b15b3c2c091e6e0ba2b9ed5aa34,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,49,49,205d4779a184150805502eb7fb872cec66447396c4a6939f88b0cf30b16431ba,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,63,63,20ce61045d5a642d5c0dc11f68075621d3581efe127e271df67ce9a582232bc0,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,39,39,23eca955f23f385225ae01c6d8772a1285beb9df163a2208d8c9a6397b474ef4,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,9,9,288236f99bd1d0caa2a17b13f934b7c7fe3e8fbce5c036aae36b8e9501bb2aa0,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
mmsp-published-series-exploratory-v1,81,81,28aa6c23498b6c2ce787965c6ebb5694e3bd943a368e943960164531437b30cc,train,expected_88_groups,paper_distinct_plant_id_anonymized_coordinates
